request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_201,22445947.32,affordable_with_plan,partial_payment,2026-04-03:22445947.32|2026-04-03:1551052.68,2026-04-03,none,"Pay IDR 22,445,947.32 today and the remaining IDR 1,551,052.68 on 2026-04-03. This completes the full request and keeps the IDR 17,304,500 minimum protected."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 1,400 available."
request_204,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-31. None of the available options keeps the EUR 1,300 minimum protected."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900 available."
request_207,4417.92,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 11,830 request. Although ZAR 4,417.92 is available today, the full amount cannot be completed safely within 90 days."
request_208,3015814.3,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 4,413,000 request. Although IDR 3,015,814.30 is available today, the full amount cannot be completed safely within 90 days."
request_209,909.35,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,629.83,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-15,none,"Use 3 installments of USD 471.48, starting 2026-04-06. This leaves at least USD 2,000 available."
request_211,265.15,affordable_later,wait,2024-10-15:1788.60,2024-10-15,none,"Pay EUR 1,788.60 in full on 2024-10-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,5599242.98,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000 request. Although IDR 5,599,242.98 is available today, the full amount cannot be completed safely within 90 days."
request_213,3013.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-22. None of the available options keeps the USD 2,100 minimum protected."
request_214,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-28. None of the available options keeps the INR 174,900 minimum protected."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 2025-05-09. This leaves at least ZAR 15,700 available."
request_216,477.27,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the USD 1,800 minimum protected."
request_217,19532.65,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12,889.07, starting 2024-03-19. This leaves at least ZAR 26,800 available."
request_218,26350974.21,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07. This leaves at least IDR 34,477,200 available."
request_219,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-13. None of the available options keeps the EUR 1,100 minimum protected."
request_220,74.94,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. Although EUR 74.94 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10077298.66,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-07,none,"Use 2 installments of IDR 5,370,040, starting 2025-02-04. This leaves at least IDR 22,187,600 available."
request_225,9636373.35,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,"Use 3 installments of IDR 7,647,120, starting 2026-07-20. This leaves at least IDR 17,670,700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,4919.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-20. None of the available options keeps the INR 62,900 minimum protected."
request_228,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-04-30. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,512.07,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,31977.73,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-06,none,"Use 3 installments of ZAR 12,378.08, starting 2026-01-06. This leaves at least ZAR 24,300 available."
request_232,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 2,400 minimum protected."
request_233,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-12-17. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,180.94,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 2026-09-15. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5070076.7,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 5,070,076.70 is available today, the full amount cannot be completed safely within 90 days."
request_237,20988245.23,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-20. None of the available options keeps the IDR 22,431,500 minimum protected."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 700 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. None of the available options keeps the INR 52,800 minimum protected."
request_241,19383501.45,affordable_with_plan,full_payment,2024-03-03:21052000,2024-03-09,reduce_to:event_22186:501600,"Reduce the lunch with colleagues to IDR 501,600, then pay IDR 21,052,000 today. This leaves at least IDR 19,252,000 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 94,600 minimum protected."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 2026-04-03. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,1855.71,affordable_with_plan,partial_payment,2025-02-07:1855.71|2025-02-07:109.89,2025-02-07,none,"Pay USD 1,855.71 today and the remaining USD 109.89 on 2025-02-07. This completes the full request and keeps the USD 1,300 minimum protected."
request_249,141.73,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.20 in full on 2026-03-15. Paying earlier would take the balance below the USD 600 minimum.
request_250,11961.31,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278 request. Although ZAR 11,961.31 is available today, the full amount cannot be completed safely within 90 days."
request_251,1513.6,affordable_later,wait,2025-05-03:1513.60,2025-05-03,none,"Pay EUR 1,513.60 in full on 2025-05-03. Paying earlier would take the balance below the EUR 1,300 minimum."
request_252,3991159.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the IDR 15,152,200 minimum protected."
request_253,1371.57,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2,300 available."
request_254,559.23,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 2025-10-15. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,139989.75,affordable_with_plan,partial_payment,2026-04-06:139989.75|2026-04-06:3205010.25,2026-04-06,none,"Pay IDR 139,989.75 today and the remaining IDR 3,205,010.25 on 2026-04-06. This completes the full request and keeps the IDR 9,813,900 minimum protected."
request_256,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-19. None of the available options keeps the INR 168,600 minimum protected."
request_257,360.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the USD 1,600 minimum protected."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,195.02,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 2024-11-15. Paying earlier would take the balance below the EUR 600 minimum.
request_260,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-18. None of the available options keeps the IDR 20,727,700 minimum protected."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-15. None of the available options keeps the ZAR 24,100 minimum protected."
request_264,16814.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the INR 59,500 minimum protected."
request_265,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-03-21. None of the available options keeps the INR 189,700 minimum protected."
request_266,773.82,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-07,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This leaves at least EUR 900 available."
request_267,1686.88,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-11,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1,500 available."
request_268,918.37,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-08-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1,400 available."
request_269,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-02. None of the available options keeps the ZAR 23,100 minimum protected."
request_270,101.28,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-30. None of the available options keeps the USD 1,400 minimum protected."
request_271,13612.75,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the INR 58,200 minimum protected."
request_272,5076295.56,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12. This leaves at least IDR 7,508,600 available."
request_273,7455953.9,affordable_with_plan,installments,2026-04-07:5498480|2026-05-05:5498480|2026-06-02:5498480,2026-04-15,none,"Use 3 installments of IDR 5,498,480, starting 2026-04-07. This leaves at least IDR 18,774,600 available."
request_274,2174.96,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-13,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1,800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
